player_name,role,total_runs,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,percentage
RA Rolfe,Batter,0,3,0,0,0,160,160,0,56,104,0,Ireland,35
PHT Kaushal,Batter,0,1,0,25,36,486,486,0,226,260,0,Sri Lanka,46.5
D Foxcroft,Batter,0,1,0,0,0,416,416,0,219,197,0,New Zealand,52.64
Fazle Mahmud,Batter,0,9,0,16,20,319,319,0,121,198,0,Bangladesh,37.93
V Buruka,Batter,0,8,3,106,143,56,56,0,10,46,0,Papua New Guinea,17.86
Fariha Trisna,Batter,0,14,6,144,208,314,314,0,118,196,0,Bangladesh,37.58
R Walters,Batter,0,6,0,0,0,51,51,0,24,27,0,Namibia,47.06
DL Blake,Batter,0,2,0,8,6,58,58,0,27,31,0,United States of America,46.55
F Hand,Batter,0,1,1,45,49,143,143,0,50,93,0,Ireland,34.97
JS Ababu,Batter,0,9,1,75,81,35,35,0,11,24,0,Kenya,31.43
TJ Bishop,Batter,0,6,0,0,0,377,377,0,147,230,0,West Indies,38.99
AG Puttick,Batter,0,5,0,0,0,406,406,0,252,154,0,South Africa,62.07
VCE Wattenberg,Batter,0,3,0,0,0,65,65,0,21,44,0,Netherlands,32.31
LM Hoitink,Batter,0,17,0,0,0,65,65,0,21,44,0,Netherlands,32.31
K Phillip,Batter,0,2,3,159,171,53,53,0,24,29,0,United States of America,45.28
MF Fahey,Batter,0,7,0,0,0,329,329,0,170,159,0,New Zealand,51.67
AL Watkins,Batter,0,1,0,21,13,329,329,0,170,159,0,New Zealand,51.67
SI Galagedara,Batter,0,11,0,0,0,340,340,0,160,180,0,Sri Lanka,47.06
OC McCoy,Batter,0,1,4,110,87,260,260,0,102,158,0,West Indies,39.23
GA Guy,Batter,0,4,0,20,19,270,270,0,136,134,0,New Zealand,50.37
APS Lakshika,Batter,0,4,0,0,0,273,273,0,128,145,0,Sri Lanka,46.89
Melanie Ani,Batter,0,2,0,0,0,33,33,0,6,27,0,Papua New Guinea,18.18
Shahbaz Ahmed,Batter,0,4,3,129,156,285,285,0,162,123,0,India,56.84
Raza Hasan,Batter,0,3,2,68,62,199,199,0,99,100,0,Pakistan,49.75
A Chopra,Batter,0,8,0,0,0,231,231,0,133,98,0,India,57.58
SK Naidu,Batter,0,3,0,22,18,231,231,0,133,98,0,India,57.58
JA Whelan,Batter,0,2,0,7,15,61,61,0,20,41,0,Ireland,32.79
JC Carroll,Batter,0,7,0,0,0,61,61,0,20,41,0,Ireland,32.79
Sumaiya Akter,Batter,0,4,0,0,0,115,115,0,38,77,0,Bangladesh,33.04
KL Tucker,Batter,0,4,0,0,0,2,2,0,1,1,0,Bermuda,50
Pooja Ganesh,Batter,0,9,0,0,0,20,20,0,11,9,0,United States of America,55
CK Holder,Batter,0,3,0,26,20,79,79,0,28,51,0,West Indies,35.44
S Lackay,Batter,0,2,0,0,0,94,94,0,59,35,0,South Africa,62.77
Sufiyan Muqeem,Batter,0,1,4,53,49,68,68,0,38,30,0,Pakistan,55.88
Simandeep Singh,Batter,0,7,0,0,0,2,2,0,0,2,0,Hong Kong,0
Shathira Jakir,Batter,0,2,0,22,19,46,46,0,14,32,0,Bangladesh,30.43
Sultana Yesmin,Batter,0,1,0,0,0,46,46,0,14,32,0,Bangladesh,30.43
C Sakariya,Batter,0,1,2,34,51,75,75,0,41,34,0,India,54.67
Shahriar Hossain,Batter,0,3,0,0,0,40,40,0,11,29,0,Bangladesh,27.5
Salman Faris,Batter,0,2,0,0,0,8,8,0,3,5,0,United Arab Emirates,37.5
Haseebullah Khan,Batter,0,2,0,0,0,12,12,0,6,6,0,Pakistan,50
Syeda Aroob Shah,Batter,0,1,0,0,0,5,5,0,4,1,0,Pakistan,80
